Bib	Name	First name	Last name	Team name	Team name 2	Distance	Category	Gender	Time	Start	Finish
208	Einar Raknes	Einar	Raknes	Ekko/Aureosen IL	Aukra	10 km	35-39 år	Male	0:33:58	2:00:00	2:33:58
228	Live Solheimdal	Live	Solheimdal	Steinkjer Friidrettsklubb	Molde	10 km	23-34 år	Female	0:34:02	2:00:00	2:34:02
207	Bård Indreavik	Bård	Indreavik	Åndalsnes IF	Rauma 	10 km	40-44 år	Male	0:35:11	2:00:00	2:35:11
229	Mads Gjethammer	Mads	Gjethammer	Romsdal Randoneeklubb	Molde	10 km	16-17 år	Male	0:35:23	2:00:00	2:35:23
213	Fredrik Kolsgaard	Fredrik	Kolsgaard	ERA Geo	Molde	10 km	23-34 år	Male	0:36:04	2:00:00	2:36:04
239	Per Myren	Per	Myren	IL Norodd	Kristiansund	10 km	35-39 år	Male	0:36:21	2:00:00	2:36:21
231	Martin Flåten	Martin	Flåten	Trollveggen triathlonklubb	Molde	10 km	23-34 år	Male	0:37:06	2:00:00	2:37:06
254	Thomas Sandhaug	Thomas	Sandhaug	Molde Og Omegn IF	Molde	10 km	45-49 år	Male	0:37:46	2:00:00	2:37:46
214	Hans Petter Mortveit	Hans Petter	Mortveit	Salmon Evolution	Molde	10 km	23-34 år	Male	0:37:51	2:00:00	2:37:51
232	Martine Strande	Martine	Strande	Mopil	Molde	10 km	23-34 år	Female	0:37:56	2:00:00	2:37:56
252	Terje Strand	Terje	Strand	EOIL	Hustadvika	10 km	40-44 år	Male	0:37:59	2:00:00	2:37:59
247	Sivert Flåten	Sivert	Flåten	Axess	Molde	10 km	23-34 år	Male	0:38:22	2:00:00	2:38:22
237	Oliver Hellum	Oliver	Hellum	EOIL	Hustadvika	10 km	16-17 år	Male	0:38:34	2:00:00	2:38:34
233	Michael Neerland	Michael	Neerland	Trollveggen Triatlon Klubb	6425	10 km	23-34 år	Male	0:38:40	2:00:00	2:38:40
255	Thomas Strand	Thomas	Strand	EOIL	Hustadvika	10 km	16-17 år	Male	0:38:46	2:00:00	2:38:46
221	Jonas Havnes Klemetzen	Jonas Havnes	Klemetzen	6416	Molde	10 km	23-34 år	Male	0:38:53	2:00:00	2:38:53
222	Knut Inge Orset	Knut Inge	Orset	Romsdal Randoneeklubb	Molde	10 km	45-49 år	Male	0:39:09	2:00:00	2:39:09
250	Terje Hellum	Terje	Hellum	EOIL	Hustadvika	10 km	45-49 år	Male	0:39:10	2:00:00	2:39:10
130	Thomas Brevik	Thomas	Brevik	Maritech	Molde	10 km	35-39 år	Male	0:39:29	2:00:00	2:39:29
202	Andreas Gussiås Romuld	Andreas Gussiås	Romuld	Kleive IL	Molde	10 km	23-34 år	Male	0:40:12	2:00:00	2:40:12
253	Vegard Nygaard Reite	Vegard Nygaard	Reite	Molde Og Omegn IF	Molde	10 km	40-44 år	Male	0:40:39	2:00:00	2:40:39
